,fp,tp,fn,precision,recall,ep_recall,f1,mdt,fa_1k,alarms_per_1k,n_episodes,n_alarms
ABCD,363.0,85.0,17.0,0.18973214285714285,0.8333333333333334,0.66,0.309090909090909,-2672.3636363636365,8.011122881355933,9.887005649717516,50.0,448.0
ADWIN,578.0,98.0,0.0,0.14497041420118342,1.0,1.0,0.2532299741602067,-2921.94,12.756002824858756,14.918785310734464,50.0,676.0
CUSUM,94.0,45.0,20.0,0.3237410071942446,0.6923076923076923,0.6,0.4411764705882353,-2307.4333333333334,2.0745056497175143,3.067620056497175,50.0,139.0
DDM,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,548.0,296.0,0.0,0.35071090047393366,1.0,1.0,0.519298245614035,-3257.6,12.093926553672317,18.626412429378533,50.0,844.0
HDDMWeighted,381.0,177.0,0.0,0.3172043010752688,1.0,1.0,0.4816326530612245,-2998.84,8.408368644067798,12.314618644067798,50.0,558.0
PageHinkley,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
RDDM,678.0,216.0,0.0,0.24161073825503357,1.0,1.0,0.38918918918918916,-3773.82,14.962923728813559,19.72987288135593,50.0,894.0
SEED,1964.0,446.0,0.0,0.18506224066390042,1.0,1.0,0.3123249299719888,-4101.78,43.34392655367231,53.18679378531073,50.0,2410.0
STEPD,4317.0,1188.0,0.0,0.21580381471389645,1.0,1.0,0.3549977588525325,-4380.18,95.27277542372882,121.49099576271188,50.0,5505.0
STUDD,548.0,134.0,3.0,0.19648093841642228,0.9781021897810219,0.94,0.32722832722832723,-3052.574468085106,12.093926553672317,15.05120056497175,50.0,682.0
