,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
ABCD,0.0,50.0,0.0,1.0,1.0,1.0,1.0,442.76,0.0,1.1034604519774012,50.0,50.0
ABCDx,0.0,50.0,0.0,1.0,1.0,1.0,1.0,442.76,0.0,1.1034604519774012,50.0,50.0
ADWIN,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
CUSUM,9.0,3.0,47.0,0.25,0.06,0.06,0.0967741935483871,-2008.6666666666667,0.19862288135593223,0.2648305084745763,50.0,12.0
DDM,2.0,1.0,49.0,0.3333333333333333,0.02,0.02,0.03773584905660377,-634.0,0.04413841807909605,0.06620762711864407,50.0,3.0
EWMAChart,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
GeometricMovingAverage,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
HDDMAverage,6.0,6.0,45.0,0.5,0.11764705882352941,0.1,0.19047619047619047,1307.4,0.13241525423728814,0.2648305084745763,50.0,12.0
HDDMWeighted,232.0,46.0,19.0,0.16546762589928057,0.7076923076923077,0.62,0.26822157434402333,1100.0645161290322,5.120056497175141,6.13524011299435,50.0,278.0
PageHinkley,0.0,0.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0
RDDM,38.0,5.0,45.0,0.11627906976744186,0.1,0.1,0.1075268817204301,-1612.6,0.8386299435028248,0.948975988700565,50.0,43.0
SEED,25.0,53.0,0.0,0.6794871794871795,1.0,1.0,0.8091603053435115,21.58,0.5517302259887006,1.7213983050847457,50.0,78.0
STEPD,256.0,117.0,0.0,0.3136729222520107,1.0,1.0,0.4775510204081633,-541.52,5.649717514124294,8.231814971751412,50.0,373.0
STUDD,100.0,261.0,11.0,0.7229916897506925,0.9595588235294118,0.78,0.8246445497630333,669.7435897435897,2.2069209039548023,7.9669844632768365,50.0,361.0
